,(Intercept),Samsung,Sony,Camera.AF8.med,Camera.AF8.high,Proc.AF8.med,Proc.AF8.high,Screen.AF8.mid,Screen.AF8.high,Memory.AF8.med,Memory.AF8.high,Price.AF8.med,Price.AF8.high,Price.AF8.veryhigh
1,5,0.3333333333,-1,-3.67624115242268E-016,-1.6666666667,1.59403618366398E-015,0.3333333333,-4.96009143009517E-016,-0.3333333333,4.33074761133775E-016,-0.3333333333,-1.91285148981472E-015,-1.6666666667,-4
2,4.6428571429,0.7380952381,-2.0714285714,1.1428571429,0.4523809524,0.6428571429,-0.119047619,0.7142857143,1.5476190476,-0.3571428571,-1.0238095238,-1.2142857143,-2.5476190476,-4.0714285714
3,6.2857142857,0.4761904762,0.8571428571,0.2857142857,-0.0952380952,-3.7142857143,-1.2380952381,-1.5714285714,-1.9047619048,-2.7142857143,-3.0476190476,1.5714285714,2.9047619048,2.8571428571
4,4.5357142857,0.8928571429,-0.8928571429,0.2857142857,-0.6785714286,-0.4642857143,0.1785714286,0.4285714286,0.1785714286,-0.9642857143,-1.4642857143,0.8214285714,0.3214285714,-1.3928571429
5,3.6428571429,0.4047619048,-1.0714285714,0.1428571429,0.119047619,-0.3571428571,-1.4523809524,-0.2857142857,-0.119047619,-0.3571428571,0.3095238095,-1.2142857143,-0.880952381,-2.0714285714
6,4,-2,-2,1,1.09733323429847E-015,1.61549556817685E-015,1.19464056054827E-015,1,1,1.02855255769272E-015,-1,-6.14845121726161E-016,-1,-1
7,4.8214285714,-1.2976190476,-0.0357142857,-0.4285714286,-0.4404761905,-0.1785714286,0.2738095238,-0.1428571429,-1.0595238095,-0.6785714286,-0.8452380952,0.3928571429,-0.4404761905,-0.5357142857
8,5,-0.3333333333,-1,8.27154259295104E-016,-0.3333333333,9.75940520610599E-016,0.6666666667,1.0581528384203E-015,-0.6666666667,-1,-1.6666666667,-9.90583807225481E-016,-0.3333333333,-2
9,7.1071428571,0.5119047619,-2.1785714286,-0.1428571429,-0.2023809524,-0.8928571429,-1.630952381,-0.7142857143,-0.2976190476,-1.3928571429,-0.2261904762,-0.0357142857,1.7976190476,-1.6785714286
10,3.6428571429,0.4047619048,0.9285714286,-0.8571428571,-0.880952381,0.6428571429,-1.4523809524,-0.2857142857,-2.119047619,0.6428571429,3.3095238095,0.7857142857,-0.880952381,-2.0714285714
11,4.5357142857,0.5595238095,-0.8928571429,-0.7142857143,-0.0119047619,-0.4642857143,-1.1547619048,-0.5714285714,0.5119047619,-0.9642857143,0.869047619,0.8214285714,0.9880952381,-0.3928571429
12,3.5357142857,0.2261904762,-0.8928571429,0.2857142857,1.6547619048,-0.4642857143,-1.4880952381,-0.5714285714,-0.1547619048,-0.9642857143,0.2023809524,-0.1785714286,-0.3452380952,-1.3928571429
13,5.5357142857,-0.4404761905,-0.8928571429,0.2857142857,-1.0119047619,-1.4642857143,-1.1547619048,0.4285714286,1.5119047619,-0.9642857143,-1.130952381,0.8214285714,-1.0119047619,-0.3928571429
14,4.6428571429,1.0714285714,1.9285714286,-0.8571428571,-1.2142857143,-0.3571428571,1.2142857143,-1.2857142857,-2.7857142857,-0.3571428571,0.6428571429,-0.2142857143,1.7857142857,-1.0714285714
