,(Intercept),Samsung,Sony,Camera.AF8.med,Camera.AF8.high,Proc.AF8.med,Proc.AF8.high,Screen.AF8.mid,Screen.AF8.high,Memory.AF8.med,Memory.AF8.high,Price.AF8.med,Price.AF8.high,Price.AF8.veryhigh
15,3,-0.6666666667,-2,-3.67624115242268E-016,1.3333333333,6.506270137404E-017,-0.6666666667,-3.30672762006345E-016,0.6666666667,-6.22544969129802E-016,0.6666666667,1.09305799417984E-015,0.3333333333,-1
16,4.3571428571,-0.4047619048,0.0714285714,-0.1428571429,0.880952381,0.3571428571,0.4523809524,-0.7142857143,-0.880952381,0.3571428571,0.6904761905,-1.7857142857,-1.119047619,-0.9285714286
17,4.3571428571,-0.4047619048,-0.9285714286,-0.1428571429,0.880952381,0.3571428571,0.4523809524,0.2857142857,0.119047619,-0.6428571429,-0.3095238095,-0.7857142857,-0.119047619,-1.9285714286
18,3.9285714286,1.2142857143,-0.2142857143,1.4285714286,-0.6428571429,-1.0714285714,-0.3571428571,0.1428571429,-0.3571428571,-1.0714285714,-3.0714285714,0.3571428571,1.3571428571,-0.2142857143
19,8.2142857143,2.6904761905,0.6428571429,-0.2857142857,-2.7380952381,-2.7857142857,-2.5952380952,-1.4285714286,-2.2619047619,-3.7857142857,-3.119047619,1.9285714286,5.2619047619,0.6428571429
20,3.5357142857,1.5595238095,-0.8928571429,0.2857142857,-3.0119047619,-0.4642857143,-1.1547619048,0.4285714286,0.5119047619,-0.9642857143,-2.130952381,1.8214285714,-1.0119047619,-1.3928571429
21,5,-8.34447915941153E-016,4.35640622995838E-016,5.76493237840781E-017,3.22517437797757E-016,8.3034701248657E-016,1.06299528572301E-015,9.72136595367507E-016,1.01888972590581E-015,7.43374596903728E-016,-4.02117455590432E-016,0,-4,7.35303785166744E-016
22,6.4285714286,0.380952381,-2.7142857143,1.4285714286,-0.4761904762,-1.5714285714,-2.1904761905,-0.8571428571,-0.5238095238,-1.5714285714,-1.2380952381,-0.1428571429,-0.4761904762,-2.7142857143
23,5.4642857143,0.1071428571,0.8928571429,-0.2857142857,0.6785714286,-0.5357142857,-0.1785714286,-0.4285714286,-1.1785714286,-1.0357142857,0.4642857143,-0.8214285714,-1.3214285714,-1.6071428571
24,3.7142857143,0.5238095238,0.1428571429,-0.2857142857,0.0952380952,-0.2857142857,-0.7619047619,-0.4285714286,-1.0952380952,-0.2857142857,1.0476190476,-0.5714285714,0.0952380952,-0.8571428571
25,5,0,-1,8.3239531487986E-017,1.37687393475836E-015,4.36423832645828E-016,4.65365001823423E-017,-2.58202299687584E-016,-4.29878275857192E-017,-1.60673882011925E-016,7.14875476605213E-016,-2,-1,-3
26,5,5.10235846991005E-016,9.49748942706476E-016,-6.6939897563895E-017,-8.27548299249496E-016,-6.76492157577069E-017,6.63442433687649E-016,1.55901204744665E-016,-5.56026262624996E-016,5.2405191728481E-017,-7.14875476605213E-016,-2,-2,-2
27,6.3571428571,2.5952380952,0.0714285714,0.8571428571,-1.119047619,-2.6428571429,-2.5476190476,-0.7142857143,-0.880952381,-1.6428571429,-1.3095238095,1.2142857143,0.880952381,-1.9285714286
28,4,-0.6666666667,-2,-4.59530144052836E-017,0.3333333333,7.80752416488479E-016,0.3333333333,4.62941866808883E-016,0.6666666667,4.33074761133775E-016,-0.3333333333,-1,-0.6666666667,-2
29,4.4642857143,-0.5595238095,-2.1071428571,0.7142857143,1.0119047619,0.4642857143,0.1547619048,-0.4285714286,0.4880952381,-0.0357142857,1.130952381,-1.8214285714,-0.9880952381,-2.6071428571
30,6.75,1.25,-0.25,4.51871308318622E-016,0.25,-2.25,-2.75,-1,-1.75,-0.75,0.75,-0.25,2.25,-0.75
31,5.4642857143,0.7738095238,-1.1071428571,-0.2857142857,-0.6547619048,0.4642857143,-0.5119047619,0.5714285714,1.1547619048,-1.0357142857,-0.2023809524,-0.8214285714,-1.6547619048,-2.6071428571
32,4.8214285714,0.369047619,-1.0357142857,0.5714285714,1.2261904762,-0.1785714286,-1.0595238095,-0.1428571429,0.2738095238,-0.6785714286,-0.5119047619,-1.6071428571,-1.7738095238,-3.5357142857
33,5.6428571429,-0.2619047619,-1.0714285714,0.1428571429,-0.5476190476,-1.3571428571,-1.119047619,-0.2857142857,-0.4523809524,-1.3571428571,-1.0238095238,0.7857142857,1.4523809524,-0.0714285714
34,5.3571428571,-1.4047619048,-1.9285714286,-0.1428571429,-0.119047619,-0.6428571429,-0.5476190476,-0.7142857143,0.119047619,-0.6428571429,-0.3095238095,0.2142857143,0.880952381,0.0714285714
35,3.1785714286,-1.0357142857,-0.9642857143,0.4285714286,0.1071428571,0.1785714286,0.3928571429,0.1428571429,0.3928571429,0.6785714286,0.1785714286,-0.3928571429,-0.8928571429,-0.4642857143
36,4.5714285714,-0.7142857143,-1.2857142857,1.5714285714,2.1428571429,-0.4285714286,-1.1428571429,-0.1428571429,-0.1428571429,-0.4285714286,0.5714285714,-2.8571428571,-1.8571428571,-1.2857142857
37,4.8214285714,2.0357142857,-0.0357142857,0.5714285714,-2.1071428571,-1.1785714286,-0.3928571429,-0.1428571429,-0.3928571429,-0.6785714286,-2.1785714286,0.3928571429,-1.1071428571,-0.5357142857
38,3.4642857143,0.1071428571,-0.1071428571,-0.2857142857,-0.3214285714,-0.5357142857,-0.1785714286,-0.4285714286,-0.1785714286,-0.0357142857,0.4642857143,0.1785714286,0.6785714286,0.3928571429
,,,,,,,,,,,,,,
,4.837406015,0.2377819549,-0.7114661654,0.1729323308,-0.1870300752,-0.5573308271,-0.6156015038,-0.2406015038,-0.2734962406,-0.6757518797,-0.3994360902,-0.2001879699,-0.2133458647,-1.3035714286
