,(Intercept),Samsung,Sony,Camera.AF8.med,Camera.AF8.high,Proc.AF8.med,Proc.AF8.high,Screen.AF8.mid,Screen.AF8.high,Memory.AF8.med,Memory.AF8.high,Price.AF8.med,Price.AF8.high,Price.AF8.veryhigh
1,0.2857142857,0.1428571429,-0.1428571429,1.2857142857,2.5714285714,0.2857142857,0.4285714286,0.4285714286,0.4285714286,0.2857142857,0.2857142857,-0.4285714286,-0.4285714286,-0.1428571429
2,0.7142857143,2.1904761905,3.1428571429,0.7142857143,-5.2380952381,-0.2857142857,1.9047619048,0.5714285714,-0.7619047619,-0.2857142857,-3.619047619,3.4285714286,-0.2380952381,0.1428571429
3,-0.8928571429,0.1785714286,1.8214285714,-1.1428571429,-3.5357142857,0.1071428571,1.0357142857,1.2857142857,1.0357142857,1.6071428571,0.1071428571,3.9642857143,1.4642857143,1.3214285714
4,1,0.3333333333,-3.5358453218693E-017,-3.21671100836985E-016,0.3333333333,-6.50627013740399E-016,0.3333333333,-7.60547352614593E-016,-0.3333333333,-8.66149522267551E-016,-0.3333333333,3.415806231812E-016,1.3333333333,3.08545266870941E-016
5,2.4642857143,-1.2261904762,-0.1071428571,-0.2857142857,-0.6547619048,0.4642857143,1.4880952381,0.5714285714,0.1547619048,0.9642857143,-0.2023809524,0.1785714286,-0.6547619048,0.3928571429
6,1,0.3333333333,-1.11252705681198E-015,4.2889480111598E-016,-0.6666666667,3.253135068702E-017,0.3333333333,1.32269104802538E-016,-0.3333333333,1.08268690283444E-016,-0.3333333333,2,3.3333333333,4
7,3,-3.9286746864775E-016,-1.27544756637337E-015,-2.45082743494846E-016,-2,7.1568971511444E-016,1,-9.92018286019035E-016,-1,1,2.32143529211782E-015,-2.83511917240396E-015,-1,-2
8,2.6428571429,0.4047619048,0.9285714286,0.1428571429,1.119047619,0.6428571429,0.5476190476,-1.2857142857,-2.119047619,0.6428571429,2.3095238095,-1.2142857143,-0.880952381,-0.0714285714
9,-0.6428571429,-1.0714285714,2.0714285714,-1.1428571429,-1.7857142857,0.3571428571,2.7857142857,0.2857142857,-0.2142857143,1.3571428571,0.3571428571,2.2142857143,-0.7857142857,1.0714285714
10,0.4642857143,2.1071428571,-0.1071428571,0.7142857143,1.6785714286,0.4642857143,0.8214285714,0.5714285714,-0.1785714286,-0.0357142857,-0.5357142857,-0.8214285714,-0.3214285714,-0.6071428571
11,0.7142857143,-0.4761904762,0.1428571429,-0.2857142857,0.0952380952,0.7142857143,1.2380952381,0.5714285714,-0.0952380952,0.7142857143,1.0476190476,1.4285714286,1.0952380952,0.1428571429
12,1.1785714286,-0.7023809524,0.0357142857,-0.5714285714,0.4404761905,0.1785714286,-0.2738095238,0.1428571429,0.0595238095,0.6785714286,2.8452380952,-0.3928571429,-0.5595238095,-0.4642857143
13,1.8214285714,0.7023809524,-0.0357142857,-0.4285714286,-1.4404761905,-1.1785714286,-0.7261904762,0.8571428571,-0.0595238095,1.3214285714,3.1547619048,0.3928571429,-0.4404761905,-0.5357142857
14,2.5357142857,1.8928571429,2.1071428571,0.2857142857,-0.6785714286,-0.4642857143,0.1785714286,-0.5714285714,-0.8214285714,0.0357142857,-0.4642857143,-0.1785714286,0.3214285714,0.6071428571
15,-0.2857142857,0.1904761905,1.1428571429,-0.2857142857,-2.2380952381,-0.2857142857,0.9047619048,0.5714285714,0.2380952381,0.7142857143,1.380952381,2.4285714286,-0.2380952381,1.1428571429
16,0.3571428571,0.9285714286,2.0714285714,-1.1428571429,-2.7857142857,-0.6428571429,0.7857142857,0.2857142857,-1.2142857143,1.3571428571,0.3571428571,2.2142857143,1.2142857143,1.0714285714
17,0.5357142857,-1.1071428571,-0.8928571429,0.2857142857,0.3214285714,1.5357142857,2.1785714286,1.4285714286,1.1785714286,1.0357142857,0.5357142857,-0.1785714286,1.3214285714,0.6071428571
18,2.8214285714,-0.630952381,-0.0357142857,0.5714285714,-0.7738095238,-0.1785714286,-0.0595238095,0.8571428571,1.2738095238,-0.6785714286,0.4880952381,0.3928571429,-0.7738095238,-0.5357142857
19,2.1785714286,0.2976190476,1.0357142857,-1.5714285714,0.4404761905,0.1785714286,-0.2738095238,-0.8571428571,-1.9404761905,0.6785714286,2.8452380952,-0.3928571429,1.4404761905,0.5357142857
20,2.6428571429,-0.9285714286,-1.0714285714,0.1428571429,-0.2142857143,0.6428571429,1.2142857143,0.7142857143,0.2142857143,0.6428571429,-0.3571428571,-0.2142857143,-0.2142857143,-0.0714285714
21,2.75,-0.75,-0.25,-5.51436172863403E-016,1.25,0.75,0.25,1,0.25,0.25,-0.25,-0.25,1.25,0.25
22,-1.0714285714,1.880952381,1.7857142857,-0.5714285714,-2.9761904762,0.9285714286,1.3095238095,1.1428571429,-0.0238095238,1.9285714286,0.2619047619,1.3571428571,-1.9761904762,-0.2142857143
23,1,7.8966548515203E-032,1.07139161514391E-031,-2.0675420667401E-032,-5.13608995791732E-032,-1.19503954109949E-031,-1.99982213347783E-031,-8.39194512611119E-032,-7.26835386995784E-032,-2.56540531430712E-031,-1.68115701123989E-031,9.10153614291788E-032,-8.59975056989852E-016,9.25546286240914E-032
24,1.8214285714,-0.9642857143,0.9642857143,-0.4285714286,0.8928571429,0.8214285714,0.6071428571,-0.1428571429,-0.3928571429,1.3214285714,1.8214285714,-0.6071428571,-1.1071428571,-0.5357142857
25,-0.2857142857,0.8571428571,3.1428571429,-0.2857142857,-0.5714285714,-0.2857142857,1.5714285714,0.5714285714,-0.4285714286,0.7142857143,0.7142857143,1.4285714286,0.4285714286,2.1428571429
26,1.5357142857,-0.7738095238,1.1071428571,0.2857142857,0.6547619048,0.5357142857,1.5119047619,0.4285714286,-0.1547619048,1.0357142857,0.2023809524,0.8214285714,-0.3452380952,0.6071428571
27,0.4642857143,1.1071428571,2.8928571429,-0.2857142857,-1.3214285714,0.4642857143,1.8214285714,0.5714285714,-0.1785714286,0.9642857143,-0.5357142857,0.1785714286,-1.3214285714,0.3928571429
28,1.7142857143,0.1904761905,0.1428571429,0.7142857143,0.7619047619,-0.2857142857,-0.0952380952,0.5714285714,1.2380952381,-0.2857142857,-0.619047619,-0.5714285714,-1.2380952381,-0.8571428571
29,0.75,0.25,1.75,-6.96954051813467E-016,0.25,0.75,1.25,-2.18244022924188E-015,-0.75,1.25,0.75,-0.25,-0.75,-0.75
,,,,,,,,,,,,,,
,1.145320197,0.184729064,0.815270936,-0.1133004926,-0.5541871921,0.2142857143,0.8300492611,0.3645320197,-0.1699507389,0.6625615764,0.421182266,0.5837438424,-0.0024630542,0.263546798
